Voltage (V)	Current (pA)
0.345	3.662
0.346	3.967
0.347	3.967
0.348	3.967
0.349	3.967
0.350	3.967
0.351	4.272
0.352	4.272
0.353	4.578
0.354	4.578
0.355	4.578
0.356	4.578
0.357	4.883
0.358	5.188
0.359	5.188
0.360	5.493
0.361	5.493
0.362	5.493
0.363	6.104
0.364	6.104
0.365	6.104
0.366	6.104
0.367	6.104
0.368	6.409
0.369	6.409
0.370	6.714
0.371	6.714
0.372	7.019
0.373	7.019
0.374	7.019
0.375	7.629
0.376	7.629
0.377	7.629
0.378	7.629
0.379	7.629
0.380	8.240
0.381	8.240
0.382	8.240
0.383	8.240
0.384	8.545
0.385	8.850
0.386	8.850
0.387	9.155
0.388	9.155
0.389	9.155
0.390	9.155
0.391	9.460
0.392	9.766
0.393	9.766
0.394	10.071
0.395	10.071
0.396	9.766
0.397	10.681
0.398	10.681
0.399	10.681
0.400	10.681
0.401	10.681
0.402	10.986
0.403	10.986
0.404	11.292
0.405	11.292
0.406	11.292
0.407	11.292
0.408	11.597
0.409	11.902
0.410	11.902
0.411	11.902
0.412	11.902
0.413	12.207
0.414	12.512
0.415	12.512
0.416	12.512
0.417	12.512
0.418	12.512
0.419	12.817
0.420	12.817
0.421	13.123
0.422	13.123
0.423	13.123
0.424	13.123
0.425	13.123
0.426	13.428
0.427	13.428
0.428	13.428
0.429	13.428
0.430	13.428
0.431	13.733
0.432	13.733
0.433	13.733
0.434	13.733
0.435	13.733
0.436	14.038
0.437	14.038
0.438	14.038
0.439	14.038
0.440	14.038
0.441	14.038
0.442	14.343
0.443	14.648
0.444	14.648
0.445	14.343
0.446	14.343
0.447	14.343
0.448	14.648
0.449	14.648
0.450	14.648
0.451	14.648
0.452	14.648
0.453	14.648
0.454	14.648
0.455	14.648
0.456	14.648
0.457	14.954
0.458	14.954
0.459	14.954
0.460	14.954
0.461	14.954
0.462	14.954
0.463	14.954
0.464	14.648
0.465	15.259
0.466	15.259
0.467	14.954
0.468	14.954
0.469	14.954
0.470	14.954
0.471	14.954
0.472	14.954
0.473	14.954
0.474	14.954
0.475	14.954
0.476	14.954
0.477	15.259
0.478	15.259
0.479	15.564
0.480	15.564
0.481	15.259
0.482	15.259
0.483	15.259
0.484	15.259
0.485	15.259
0.486	15.259
0.487	15.564
0.488	15.564
0.489	15.564
0.490	15.564
0.491	14.954
0.492	15.259
0.493	15.259
0.494	15.259
0.495	15.259
0.496	15.259
0.497	15.259
0.498	15.259
0.499	15.564
0.500	15.564
0.501	15.259
0.502	15.259
0.503	15.259
0.504	15.564
0.505	15.564
0.506	15.564
0.507	15.564
0.508	15.259
0.509	15.259
0.510	15.564
0.511	15.564
0.512	15.564
0.513	15.564
0.514	15.564
0.515	15.259
0.516	15.564
0.517	15.564
0.518	15.564
0.519	15.564
0.520	15.259
0.521	15.564
0.522	15.564
0.523	15.564
0.524	15.564
0.525	15.564
0.526	15.564
0.527	15.564
0.528	15.564
0.529	15.564
0.530	15.564
0.531	15.564
0.532	15.564
0.533	15.869
0.534	15.869
0.535	15.564
0.536	15.564
0.537	15.564
0.538	15.869
0.539	15.869
0.540	15.869
0.541	15.869
0.542	15.564
0.543	15.564
0.544	15.869
0.545	16.174
0.546	16.174
0.547	15.869
0.548	15.869
0.549	15.869
0.550	15.869
0.551	15.869
0.552	15.869
0.553	15.869
0.554	15.869
0.555	15.869
0.556	15.869
0.557	15.869
0.558	15.869
0.559	15.869
0.560	15.869
0.561	15.869
0.562	15.869
0.563	15.869
0.564	15.869
0.565	15.869
0.566	15.869
0.567	16.174
0.568	16.174
0.569	16.174
0.570	16.174
0.571	15.869
0.572	16.174
0.573	16.174
0.574	16.174
0.575	16.174
0.576	15.869
0.577	15.869
0.578	15.869
0.579	16.174
0.580	16.174
0.581	15.869
0.582	15.869
0.583	15.869
0.584	15.869
0.585	15.869
0.586	15.869
0.587	15.869
0.588	15.869
0.589	16.174
0.590	16.174
0.591	16.174
0.592	16.174
0.593	15.869
0.594	15.869
0.595	15.869
0.596	15.869
0.597	15.869
0.598	15.869
0.599	15.869
0.600	15.869
0.601	16.174
0.602	16.174
0.603	16.174
0.604	16.174
0.605	15.869
0.606	15.869
0.607	15.869
0.608	16.174
0.609	16.174
0.610	15.869
0.611	15.869
0.612	15.869
0.613	16.174
0.614	16.174
0.615	15.869
0.616	15.869
0.617	15.869
0.618	16.174
0.619	16.174
0.620	16.174
0.621	16.174
0.622	16.174
0.623	16.174
0.624	16.174
0.625	16.174
0.626	16.174
0.627	15.869
0.628	15.869
0.629	15.869
0.630	16.174
0.631	16.174
0.632	16.174
0.633	16.174
0.634	16.174
0.635	16.174
0.636	16.174
0.637	16.479
0.638	16.479
0.639	15.869
0.640	16.174
0.641	16.174
0.642	16.479
0.643	16.479
0.644	16.174
0.645	16.174
0.646	16.174
0.647	16.174
0.648	16.174
0.649	16.174
0.650	16.174
0.651	16.174
0.652	16.174
0.653	16.174
0.654	16.174
0.655	16.174
0.656	16.174
0.657	16.174
0.658	16.174
0.659	16.174
0.660	16.174
0.661	16.174
0.662	16.174
0.663	15.869
0.664	16.174
0.665	16.174
0.666	16.174
0.667	16.174
0.668	16.174
0.669	16.479
0.670	16.479
0.671	16.174
0.672	16.174
0.673	16.174
0.674	16.174
0.675	16.174
