,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
46,0.25,0.5,0.75,0.2,4.16,2.627761553804883,0.0,1.6168233266411238,0.0,1.5009956410149787,0.0,24.58541114951424,-52.556804344401215,8.776925504778344,77.14221549391546
47,0.25,0.5,0.75,0.2,5.15,3.2970403257122443,-0.0,2.0302440803983015,-0.0,1.8304852675710432,-0.0,25.241215631920014,-47.404454768231716,7.14143775208854,72.64567040015173
48,0.25,0.5,0.75,0.2,6.14,3.967630287755809,0.0,2.4453166267248316,0.0,2.1667221691063556,0.0,25.69307417149143,-44.09564153799265,6.033614145243592,69.78871570948408
49,0.25,0.5,0.75,0.2,7.13,4.639096065162747,0.0,2.86147358416454,0.0,2.506622364666419,0.0,26.024136051616523,-41.78370905921273,5.230374401688572,67.80784511082925
50,0.25,0.5,0.75,0.2,8.12,5.311176773769633,-0.0,3.278390721806496,-0.0,2.8487516712447434,-0.0,26.277496908116607,-40.072831043440445,4.619742422629678,66.35032795155705
51,0.25,0.5,0.75,0.2,9.11,5.983706096947199,-0.0,3.6958653391827267,0.0,3.1923491733433473,0.0,26.477820481605796,-38.75313359784306,4.139050833703586,65.23095407944885
52,0.25,0.5,0.75,0.2,10.1,6.656572850536278,0.0,4.11376267740699,-0.0,3.5369710375069867,-0.0,26.640279426593228,-37.702791253091185,3.7503639076994832,64.34307067968442
53,0.25,0.5,0.75,0.2,11.09,7.329699834671942,0.0,4.53198901268422,0.0,3.8823394079717066,-0.0,26.77473703216936,-36.846111950752224,3.4293120402669435,63.620848982921586
54,0.25,0.5,0.75,0.2,12.079999999999998,8.003031750998284,-0.0,4.9504768507792205,0.0,4.228270592591139,0.0,26.88789081193656,-36.13351448513964,3.1594944823403663,63.0214052970762
55,0.25,0.5,0.75,0.2,13.069999999999999,8.676527941809345,0.0,5.369176210131628,-0.0,4.574637797851048,-0.0,26.98445234230201,-35.53112040829832,2.929451866530677,62.51557275060033
56,0.25,0.5,0.75,0.2,14.059999999999999,9.350157841798529,0.0,5.788049215463923,0.0,4.921350395037413,0.0,27.067834705109576,-35.014968253420236,2.73092646877669,62.08280295852981
